,id,site,station,artist,title,timestamp,createdOn
111,78816720,wmmr.com,WMMRFM,Pink Floyd,One Of These Days,1621349652,2021-05-18T14:55:29.000Z
112,78816409,wmmr.com,WMMRFM,Pink Floyd,Money,1621349278,2021-05-18T14:48:29.000Z
113,78815592,wmmr.com,WMMRFM,Revivalists,Wish I Knew You,1621348316,2021-05-18T14:32:29.000Z
114,78814710,wmmr.com,WMMRFM,Oasis,Don't Look Back In Anger,1621347188,2021-05-18T14:14:29.000Z
115,78813765,wmmr.com,WMMRFM,Bob Marley,Could You Be Loved,1621346106,2021-05-18T13:56:29.000Z
116,78812662,wmmr.com,WMMRFM,Psychedelic Furs,Pretty In Pink,1621344745,2021-05-18T13:33:30.000Z
117,78811325,wmmr.com,WMMRFM,Foo Fighters,Waiting On A War,1621343200,2021-05-18T13:07:30.000Z
118,78809297,wmmr.com,WMMRFM,Killers,Mr. Brightside,1621340746,2021-05-18T12:26:30.000Z
119,78807936,wmmr.com,WMMRFM,Cage The Elephant,Cold Cold Cold,1621339141,2021-05-18T11:59:29.000Z
120,78805774,wmmr.com,WMMRFM,Stone Temple Pilots,Plush,1621336525,2021-05-18T11:16:29.000Z
121,78803901,wmmr.com,WMMRFM,Ac/Dc,Shot In The Dark,1621334259,2021-05-18T10:38:29.000Z
122,78800577,wmmr.com,WMMRFM,Ayron Jones,Mercy,1621330299,2021-05-18T09:32:29.000Z
123,78800448,wmmr.com,WMMRFM,Blink 182,Dammit (Growing Up),1621330126,2021-05-18T09:29:29.000Z
124,78799571,wmmr.com,WMMRFM,Metallica,Master Of Puppets,1621329120,2021-05-18T09:12:29.000Z
125,78799405,wmmr.com,WMMRFM,Greta Van Fleet,When the Curtain Falls,1621328889,2021-05-18T09:08:29.000Z
126,78799262,wmmr.com,WMMRFM,Rival Sons,Shooting Stars,1621328653,2021-05-18T09:05:29.000Z
127,78799040,wmmr.com,WMMRFM,Tom Petty,Into The Great Wide Open,1621328432,2021-05-18T09:01:29.000Z
128,78798862,wmmr.com,WMMRFM,Godsmack,Unforgettable,1621328204,2021-05-18T08:57:29.000Z
129,78798449,wmmr.com,WMMRFM,Soraia,Tight Lipped,1621327703,2021-05-18T08:49:29.000Z
130,78798233,wmmr.com,WMMRFM,Van Halen,Panama,1621327481,2021-05-18T08:45:29.000Z
131,78798099,wmmr.com,WMMRFM,Offspring,The Kids Aren't Alright,1621327300,2021-05-18T08:42:29.000Z
132,78797918,wmmr.com,WMMRFM,Goo Goo Dolls,Slide,1621327073,2021-05-18T08:39:29.000Z
133,78797670,wmmr.com,WMMRFM,Royal Blood,Typhoons,1621326838,2021-05-18T08:34:29.000Z
134,78797381,wmmr.com,WMMRFM,Who,Who Are You,1621326459,2021-05-18T08:28:29.000Z
135,78796820,wmmr.com,WMMRFM,Pretty Reckless,And So It Went,1621325821,2021-05-18T08:17:29.000Z
136,78796661,wmmr.com,WMMRFM,Red Hot Chili Peppers,Can't Stop,1621325546,2021-05-18T08:13:30.000Z
137,78796447,wmmr.com,WMMRFM,Verve,Bitter Sweet Symphony,1621325287,2021-05-18T08:09:29.000Z
138,78796243,wmmr.com,WMMRFM,Rise Against,Nowhere Generation,1621325057,2021-05-18T08:05:29.000Z
139,78796093,wmmr.com,WMMRFM,Green Day,American Idiot,1621324881,2021-05-18T08:02:29.000Z
140,78795892,wmmr.com,WMMRFM,Foo Fighters,Shame Shame,1621324630,2021-05-18T07:58:29.000Z
141,78795429,wmmr.com,WMMRFM,Queens Of The Stone Age,No One Knows,1621324114,2021-05-18T07:49:29.000Z
142,78795294,wmmr.com,WMMRFM,Weezer,I Need Some of That,1621323939,2021-05-18T07:46:29.000Z
143,78795025,wmmr.com,WMMRFM,Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom),1621323659,2021-05-18T07:41:29.000Z
144,78794829,wmmr.com,WMMRFM,Porno For Pyros,Pets,1621323374,2021-05-18T07:37:29.000Z
145,78794632,wmmr.com,WMMRFM,Ac/Dc,Realize,1621323164,2021-05-18T07:33:30.000Z
146,78794495,wmmr.com,WMMRFM,Lit,My Own Worst Enemy,1621322991,2021-05-18T07:30:29.000Z
147,78793977,wmmr.com,WMMRFM,Badflower,F The World,1621322384,2021-05-18T07:20:29.000Z
148,78793800,wmmr.com,WMMRFM,U2,Beautiful Day,1621322137,2021-05-18T07:16:29.000Z
149,78793584,wmmr.com,WMMRFM,Cheap Trick,California Man,1621321905,2021-05-18T07:12:30.000Z
150,78793450,wmmr.com,WMMRFM,Seether,Bruised And Bloodied,1621321691,2021-05-18T07:09:29.000Z
151,78793313,wmmr.com,WMMRFM,Beastie Boys,Sabotage,1621321519,2021-05-18T07:06:29.000Z
152,78793073,wmmr.com,WMMRFM,Larkin Poe,Holy Ghost Fire,1621321300,2021-05-18T07:02:29.000Z
153,78792642,wmmr.com,WMMRFM,Black Keys,Crawling Kingsnake,1621320728,2021-05-18T06:53:29.000Z
154,78792469,wmmr.com,WMMRFM,Collective Soul,Counting The Days,1621320561,2021-05-18T06:50:28.000Z
155,78792276,wmmr.com,WMMRFM,Jane'S Addiction,Been Caught Stealing,1621320353,2021-05-18T06:46:29.000Z
156,78792132,wmmr.com,WMMRFM,Nancy Wilson,Daughter,1621320147,2021-05-18T06:43:29.000Z
157,78791922,wmmr.com,WMMRFM,Stone Temple Pilots,Roll Me Under,1621319919,2021-05-18T06:39:28.000Z
158,78791500,wmmr.com,WMMRFM,Offspring,Let The Bad Times Roll,1621319382,2021-05-18T06:30:29.000Z
159,78791362,wmmr.com,WMMRFM,Deftones,Ceremony,1621319176,2021-05-18T06:27:29.000Z
160,78791038,wmmr.com,WMMRFM,Pink Floyd,The Happiest Days Of Our Lives-Another Brick In The Wall Pt. 2,1621318846,2021-05-18T06:21:29.000Z
161,78790860,wmmr.com,WMMRFM,Pretty Reckless,Death By Rock And Roll,1621318593,2021-05-18T06:17:29.000Z
162,78790309,wmmr.com,WMMRFM,Santana,Whole Lotta Love (with Chris Cornell),1621317947,2021-05-18T06:06:29.000Z
163,78789993,wmmr.com,WMMRFM,Chris Cornell,Sunshower,1621317592,2021-05-18T06:00:31.000Z
164,78789672,wmmr.com,WMMRFM,Soundgarden,Outshined,1621317196,2021-05-18T05:54:29.000Z
165,78789154,wmmr.com,WMMRFM,Evanescence,Better Without You,1621316542,2021-05-18T05:43:30.000Z
166,78788972,wmmr.com,WMMRFM,Imagine Dragons,Demons,1621316362,2021-05-18T05:40:29.000Z
167,78788688,wmmr.com,WMMRFM,Tom Petty,Free Fallin',1621316041,2021-05-18T05:34:29.000Z
168,78788487,wmmr.com,WMMRFM,Mammoth WVH,Distance,1621315764,2021-05-18T05:30:29.000Z
169,78788388,wmmr.com,WMMRFM,Green Day,She,1621315629,2021-05-18T05:28:30.000Z
170,78787723,wmmr.com,WMMRFM,Chevelle,Self Destructor,1621314877,2021-05-18T05:15:29.000Z
171,78787546,wmmr.com,WMMRFM,Lenny Kravitz,Fly Away,1621314650,2021-05-18T05:11:29.000Z
172,78787399,wmmr.com,WMMRFM,Des Rocs,This Is Our Life,1621314456,2021-05-18T05:08:30.000Z
173,78787195,wmmr.com,WMMRFM,Queen,Under Pressure,1621314215,2021-05-18T05:04:29.000Z
174,78787062,wmmr.com,WMMRFM,Five Finger Death Punch,A Little Bit Off,1621314010,2021-05-18T05:01:29.000Z
175,78786448,wmmr.com,WMMRFM,Cheap Trick,Light Up The Fire,1621313334,2021-05-18T04:49:29.000Z
176,78786245,wmmr.com,WMMRFM,Ratt,Round And Round,1621313065,2021-05-18T04:45:29.000Z
177,78785917,wmmr.com,WMMRFM,Metallica,Sad But True,1621312724,2021-05-18T04:39:28.000Z
178,78785735,wmmr.com,WMMRFM,Dirty Honey,California Dreamin',1621312463,2021-05-18T04:35:29.000Z
179,78785604,wmmr.com,WMMRFM,Cake,The Distance,1621312279,2021-05-18T04:32:29.000Z
180,78784974,wmmr.com,WMMRFM,Foo Fighters,Waiting On A War,1621311566,2021-05-18T04:20:29.000Z
181,78784783,wmmr.com,WMMRFM,Bush,Machine Head,1621311312,2021-05-18T04:16:29.000Z
182,78784330,wmmr.com,WMMRFM,Black Pumas,Colors,1621310813,2021-05-18T04:07:29.000Z
183,78784251,wmmr.com,WMMRFM,Linkin Park,Faint,1621310650,2021-05-18T04:05:30.000Z
184,78784028,wmmr.com,WMMRFM,NINE INCH NAILS w/Health,Isn't Everyone,1621310417,2021-05-18T04:01:29.000Z
185,78783406,wmmr.com,WMMRFM,Queens Of The Stone Age,No One Knows,1621309668,2021-05-18T03:48:29.000Z
186,78783191,wmmr.com,WMMRFM,Offspring,Self Esteem,1621309396,2021-05-18T03:44:29.000Z
187,78782921,wmmr.com,WMMRFM,Cult,She Sells Sanctuary,1621309133,2021-05-18T03:39:30.000Z
188,78782143,wmmr.com,WMMRFM,Steel Panther,17 Girls In A Row,1621308162,2021-05-18T03:23:30.000Z
189,78781958,wmmr.com,WMMRFM,Rival Sons,Shooting Stars,1621307920,2021-05-18T03:19:30.000Z
190,78781769,wmmr.com,WMMRFM,Smashing Pumpkins,Today,1621307715,2021-05-18T03:16:29.000Z
191,78781534,wmmr.com,WMMRFM,Aerosmith,Mama Kin,1621307440,2021-05-18T03:11:29.000Z
192,78781345,wmmr.com,WMMRFM,Ayron Jones,Mercy,1621307215,2021-05-18T03:07:30.000Z
193,78781130,wmmr.com,WMMRFM,Motley Crue,Looks That Kill,1621306967,2021-05-18T03:03:29.000Z
194,78780919,wmmr.com,WMMRFM,Rolling Stones,Shattered,1621306701,2021-05-18T02:59:29.000Z
195,78780413,wmmr.com,WMMRFM,Rise Against,Nowhere Generation,1621306070,2021-05-18T02:48:30.000Z
196,78780182,wmmr.com,WMMRFM,Three Days Grace,(I Hate) Everything About You,1621305835,2021-05-18T02:44:29.000Z
197,78779937,wmmr.com,WMMRFM,Ac/Dc,Realize,1621305541,2021-05-18T02:39:29.000Z
198,78779810,wmmr.com,WMMRFM,Alice In Chains,Would?,1621305328,2021-05-18T02:36:30.000Z
199,78779056,wmmr.com,WMMRFM,Papa Roach,Come Around,1621304446,2021-05-18T02:21:29.000Z
